orig_age,MgCa,max_ma,min_ma
548.6635761,5.194805195,550,547.9954828
547.3273895,2.868274583,547.9954828,546.8490954
546.3708013,2.089053803,546.8490954,546.1269093
545.8830172,1.810760668,546.1269093,545.6372272
545.3914372,1.576994434,545.6372272,544.8898927
544.3883482,1.3432282,544.8898927,543.8825333
543.3767183,1.209647495,543.8825333,543.1233363
542.8699543,1.153988868,543.1233363,542.1055379
541.3411214,1.087198516,542.1055379,540.3162055
539.2912896,1.131725417,540.3162055,538.5226027
537.7539158,1.165120594,538.5226027,536.4746689
535.195422,1.176252319,536.4746689,534.1757256
533.1560292,1.098330241,534.1757256,532.3925618
531.6290943,1.009276438,532.3925618,530.6103469
529.5915995,0.909090909,530.6103469,528.5728521
527.5541046,0.80890538,528.5728521,526.5348827
525.5156608,0.719851577,526.5348827,523.9825575
522.4494541,0.686456401,523.9825575,520.6572748
518.8650954,0.730983302,520.6572748,517.3277216
515.7903478,0.797773655,517.3277216,514.2524995
512.7146511,0.875695733,514.2524995,511.4330317
510.1514123,0.942486085,511.4330317,508.613564
507.0757157,1.020408163,508.613564,505.0268329
502.9779501,1.087198516,505.0268329,500.4185074
497.8590646,1.131725417,500.4185074,495.0452909
492.2315171,1.142857143,495.0452909,488.9062344
485.5809517,1.153988868,488.9062344,482.0003891
478.4198264,1.153988868,482.0003891,476.3742651
474.3287038,1.142857143,476.3742651,472.538897
470.7490901,1.131725417,472.538897,468.9602323
467.1713745,1.098330241,468.9602323,464.1023208
461.0332671,1.098330241,464.1023208,458.9867568
456.9402465,1.109461967,458.9867568,455.9162796
454.8923127,1.131725417,455.9162796,452.3347679
449.7772231,1.131725417,452.3347679,447.2196784
444.6621336,1.131725417,447.2196784,442.8732758
441.084418,1.098330241,442.8732758,439.2955602
437.5067023,1.064935065,439.2955602,434.6934031
431.8801038,1.064935065,434.6934031,429.5787881
427.2774723,1.05380334,429.5787881,425.9968019
424.7161315,1.098330241,425.9968019,422.4148157
420.1134999,1.087198516,422.4148157,418.3227441
416.5319883,1.098330241,418.3227441,414.73886
412.9457317,1.165120594,414.73886,411.4083579
409.870984,1.231910946,411.4083579,408.3336102
406.7962363,1.298701299,408.3336102,405.258388
403.7205396,1.376623377,405.258388,401.9283603
400.136181,1.421150278,401.9283603,398.6002307
397.0642803,1.454545455,398.6002307,393.9952266
390.9261728,1.454545455,393.9952266,389.1368405
387.3475082,1.432282004,389.1368405,383.5111911
379.6748739,1.432282004,383.5111911,377.8836436
376.0924132,1.454545455,377.8836436,374.0478009
372.0031886,1.421150278,374.0478009,369.4480164
366.8928441,1.365491651,369.4480164,365.3592663
363.8256884,1.3432282,365.3592663,361.7806016
359.7355148,1.32096475,361.7806016,356.4102321
353.0849494,1.332096475,356.4102321,351.2941936
349.5034377,1.3432282,351.2941936,347.200224
344.8970102,1.376623377,347.200224,343.6144419
342.3318735,1.46567718,343.6144419,341.3045851
340.2772967,1.565862709,341.3045851,339.2476358
338.2179749,1.721706865,339.2476358,337.7002975
337.1826201,1.866419295,337.7002975,336.4044432
335.6262663,2.12244898,336.4044432,335.1028949
334.5795235,2.400742115,335.1028949,334.0580501
333.5365767,2.634508349,334.0580501,333.0098838
332.4831909,2.990723562,333.0098838,331.6950496
330.9069082,3.480519481,331.6950496,330.8936223
330.8803363,3.792207792,330.8936223,329.8440325
328.8077286,4.103896104,329.8440325,327.7775933
326.7474579,4.270871985,327.7775933,325.722542
