MgCa,orig_age,max_ma,min_ma
5.186452908,0,0.387457064,0
4.661112239,0.774914128,0.798965779,0.387457064
4.525521056,0.82301743,1.293527851,0.798965779
4.373018557,1.764038272,2.234548693,1.293527851
4.220516058,2.705059114,3.172563079,2.234548693
4.084962457,3.640067044,4.110577465,3.172563079
3.932459958,4.581087886,5.042578938,4.110577465
3.830804152,5.50406999,5.968567499,5.042578938
3.712199448,6.433065007,6.900568972,5.968567499
3.576645847,7.368072937,8.285042128,6.900568972
3.407232031,9.202011319,10.1129676,8.285042128
3.27171601,11.02392388,11.47940202,10.1129676
3.203958,11.93488016,12.3903583,11.47940202
3.136199989,12.84583643,13.30432103,12.3903583
3.051493081,13.76280563,14.67075545,13.30432103
2.932925958,15.57870527,16.48364864,14.67075545
2.831307733,17.388592,18.73999414,16.48364864
2.712778191,20.09139627,21.43979195,18.73999414
2.611197547,22.78818763,23.69012454,21.43979195
2.526528219,24.59206145,25.49399836,23.69012454
2.441858892,26.39593527,27.7413245,25.49399836
2.357227145,29.08671372,30.43210294,27.7413245
2.272595399,31.77749216,33.56934016,30.43210294
2.171052335,35.36118815,37.15303615,33.56934016
2.069509271,38.94488414,40.73372568,37.15303615
1.984915105,42.52256721,44.30840229,40.73372568
1.917269837,46.09423737,47.88007246,44.30840229
1.849624569,49.66590754,52.33864725,47.88007246
1.782054462,55.01138695,58.13058543,52.33864725
1.697573038,61.24978391,64.81243471,58.13058543
1.613129195,68.3750855,71.49127752,64.81243471
1.545596669,74.60746954,76.83074402,71.49127752
1.511886777,79.0540185,80.83384067,76.83074402
1.478139304,82.61366284,86.61074658,80.83384067
1.444579735,90.60783032,92.8311048,86.61074658
1.410869843,95.05437928,99.05146304,92.8311048
1.377310274,103.0485468,106.5991718,99.05146304
1.360662022,110.1497967,112.3730712,106.5991718
1.32695213,114.5963457,116.8136073,112.3730712
1.327140033,119.0308688,122.5814938,116.8136073
1.310491781,126.1321187,130.126196,122.5814938
1.29388111,134.1202733,136.3375349,130.126196
1.294069013,138.5547964,141.6619691,136.3375349
1.27738318,144.7691417,147.4298556,141.6619691
1.277608665,150.0905695,152.3078311,147.4298556
1.277796568,154.5250926,158.9536029,152.3078311
1.312070171,163.3821131,167.3701775,158.9536029
1.329357295,171.3582418,175.3402933,167.3701775
1.380542214,179.3223447,182.8579374,175.3402933
1.448638451,186.3935301,188.6017723,182.8579374
1.499673048,190.8100145,193.0152503,188.6017723
1.567656542,195.220486,196.9852759,193.0152503
1.618653559,198.7500658,201.392741,196.9852759
1.720572429,204.0354161,205.7941931,201.392741
1.805467241,207.55297,208.8682947,205.7941931
1.890324472,210.1836193,212.3738228,208.8682947
2.043052455,214.5640262,215.873338,212.3738228
2.161807482,217.1826497,218.488955,215.873338
2.297511406,219.7952603,220.6611198,218.488955
2.416228851,221.5269792,222.3868257,220.6611198
2.568844093,223.2466722,224.1095252,222.3868257
2.704510436,224.9723782,225.8322247,224.1095252
2.857125677,226.6920712,227.5579307,225.8322247
2.975843123,228.4237901,228.8431908,227.5579307
3.111471886,229.2625914,230.1314573,228.8431908
3.213240434,231.0003232,231.4257368,230.1314573
3.314971401,231.8511503,232.2735575,231.4257368
3.433651266,232.6959646,233.1183717,232.2735575
3.552331131,233.5407788,233.9722053,233.1183717
3.620164303,234.4036318,234.8290454,233.9722053
3.72189527,235.254459,235.682879,234.8290454
3.80667734,236.111299,236.5337062,235.682879
3.925357205,236.9561133,237.8129534,236.5337062
4.094921344,238.6697934,239.5326464,237.8129534
4.230587687,240.3954993,240.8269258,239.5326464
4.298420859,241.2583523,241.6897788,240.8269258
4.366254031,242.1212053,242.5436124,241.6897788
4.484933896,242.9660195,243.3944396,242.5436124
4.569715965,243.8228596,244.6917255,243.3944396
4.671484513,245.5605914,246.4234444,244.6917255
4.807150856,247.2862973,248.1521568,246.4234444
4.925868302,249.0180162,249.4554556,248.1521568
4.959803678,249.892895,250.7737867,249.4554556
4.993776635,251.6546784,252.0921178,250.7737867
5.027712012,252.5295572,253.4134554,252.0921178
5.044736071,254.2973536,255.1812518,253.4134554
5.06176013,256.0651499,257.3985133,255.1812518
5.044923974,258.7318767,259.6247943,257.3985133
5.01110134,260.5177118,261.4106294,259.6247943
4.977278706,262.3035469,263.1994709,261.4106294
4.926507174,264.0953949,264.9943254,263.1994709
4.858786745,265.8932558,266.7951927,264.9943254
4.774117417,267.6971296,269.0455253,266.7951927
4.672536773,270.3939209,271.2958579,269.0455253
4.587867445,272.1977948,272.6502665,271.2958579
4.537058333,273.1027381,273.5582163,272.6502665
4.469300322,274.0136944,274.9216443,273.5582163
4.3507332,275.8295941,276.7375439,274.9216443
4.232166077,277.6454937,278.0979654,276.7375439
4.181356964,278.5504371,279.4583869,278.0979654
4.062789841,280.3663367,281.2712801,279.4583869
3.961171616,282.1762234,282.6317016,281.2712801
3.893413606,283.0871797,283.5426579,282.6317016
3.825655595,283.998136,284.4506077,283.5426579
3.774846483,284.9030794,285.8080228,284.4506077
3.673228258,286.7129661,287.1714507,285.8080228
3.58852135,287.6299353,288.5348787,287.1714507
3.486903124,289.439822,290.3477719,288.5348787
3.368336002,291.2557217,292.1636715,290.3477719
3.249768879,293.0716213,293.9765647,292.1636715
3.148150654,294.881508,295.3369862,293.9765647
3.080392643,295.7924643,296.6944012,295.3369862
2.995723316,297.5963381,298.0548227,296.6944012
2.911016408,298.5133073,299.4152442,298.0548227
2.82634708,300.3171811,301.6715897,299.4152442
2.69086864,303.0259983,303.9279353,301.6715897
2.606199313,304.8298722,306.1782679,303.9279353
2.504618669,307.5266635,307.9821417,306.1782679
2.436860658,308.4376198,309.3365503,307.9821417
2.369140229,310.2354807,311.5838764,309.3365503
2.267559584,312.9322721,314.2806678,311.5838764
2.16597894,315.6290634,317.8703767,314.2806678
2.030575661,320.1116899,321.9035379,317.8703767
1.929032598,323.6953858,325.0377686,321.9035379
1.861349749,326.3801514,327.7255406,325.0377686
1.776718002,329.0709298,330.4133126,327.7255406
1.709035153,331.7556954,333.0950717,330.4133126
1.658301202,334.434448,336.2232896,333.0950717
1.573707036,338.0121311,340.2414185,336.2232896
1.506099348,342.4707058,344.7029997,340.2414185
1.421542763,346.9352935,350.0514856,344.7029997
1.354010237,353.1676776,355.8344044,350.0514856
1.320337926,358.5011312,360.7213992,355.8344044
1.303576931,362.9416672,365.1619353,360.7213992
1.286815937,367.3822033,369.6024713,365.1619353
1.270054943,371.8227393,374.4834532,369.6024713
1.270280427,377.1441671,379.3614287,374.4834532
1.270468331,381.5786902,383.3524995,379.3614287
1.270618654,385.1263087,387.3435703,383.3524995
1.270806557,389.5608319,392.2215458,387.3435703
1.271032041,394.8822597,397.0965148,392.2215458
1.288168843,399.3107699,401.5280315,397.0965148
1.288356746,403.745293,406.8464528,401.5280315
1.305568709,409.9476125,413.0487723,406.8464528
1.322780671,416.149932,418.8106459,413.0487723
1.323006156,421.4713597,424.5725195,418.8106459
1.340218118,427.6736792,430.3313867,424.5725195
1.3573925,432.9890941,436.5337062,430.3313867
1.374642044,440.0783182,443.179478,436.5337062
1.391854006,446.2806377,448.9383451,443.179478
1.409028388,451.5960525,455.1406646,448.9383451
1.426277932,458.6852766,463.1167933,455.1406646
1.443602637,467.54831,471.0929221,463.1167933
1.46085218,474.6375341,475.9618782,471.0929221
1.494862718,477.2862222,479.9379167,475.9618782
1.545934895,482.5896112,485.684758,479.9379167
1.597044653,488.7799048,492.3215104,485.684758
1.631243095,495.863116,498.9702887,492.3215104
1.614557262,502.0774613,505.1786211,498.9702887
1.631769224,508.2797808,510.0445707,505.1786211
1.682766241,511.8093606,513.5681376,510.0445707
1.767661052,515.3269145,516.2017934,513.5681376
1.835531805,517.0766722,517.9425316,516.2017934
1.95424925,518.808391,519.6802634,517.9425316
2.0390689,520.5521357,520.9835622,519.6802634
2.106902072,521.4149887,521.8464152,520.9835622
2.174735244,522.2778417,522.7092682,521.8464152
2.242568416,523.1406946,523.5661082,522.7092682
2.344299383,523.9915218,524.4169354,523.5661082
2.44603035,524.8423489,525.2677625,524.4169354
2.547761317,525.6931761,526.1125768,525.2677625
2.68339008,526.5319774,526.9513781,526.1125768
2.819018843,527.3707787,527.7901794,526.9513781
2.954647606,528.2095801,528.6319872,527.7901794
3.073327471,529.0543943,529.4647756,528.6319872
3.259802927,529.8751569,529.8901892,529.4647756
3.175058438,529.9052215,530.3156028,529.8901892
3.361533894,530.7259841,531.1453848,530.3156028
3.497162657,531.5647854,531.9781732,531.1453848
3.666689215,532.3915609,532.8109616,531.9781732
3.802317978,533.2303622,533.6317242,532.8109616
4.039640127,534.0330861,534.0511248,533.6317242
3.937946741,534.0691635,534.4765384,534.0511248
4.141371094,534.8839132,535.3033139,534.4765384
4.276999857,535.7227145,536.12107,535.3033139
4.531270904,536.5194255,536.5404707,536.12107
4.41262862,536.5615159,536.9628778,536.5404707
4.649950769,537.3642397,537.7716146,536.9628778
4.853375123,538.1789894,538.1910152,537.7716146
4.785579532,538.203041,538.6104159,538.1910152
4.989003886,539.0177907,539.0268101,538.6104159
4.938157193,539.0358294,539.4462107,539.0268101
5.124632649,539.856592,539.8686179,539.4462107
5.056837058,539.8806437,540.2699798,539.8686179
5.361954798,540.6593159,540.6803611,540.2699798
5.243312514,540.7014063,541.1027682,540.6803611
5.480634663,541.5041301,541.911505,541.1027682
5.684059017,542.3188798,542.3339121,541.911505
5.599314528,542.3489444,542.7563192,542.3339121
5.802738882,543.163694,543.5620495,542.7563192
6.057009929,543.960405,543.9784437,543.5620495
5.955316542,543.9964824,544.3978444,543.9784437
6.192638692,544.7992063,545.2156005,544.3978444
6.345216352,545.6319947,546.0273437,545.2156005
6.616436297,546.4226927,546.4467444,546.0273437
6.480845115,546.470796,546.872158,546.4467444
