MgCa,orig_age,max_ma,min_ma
5.762753012,0,0.225108421,0
5.576352717,0.450216841,0.908701437,0.225108421
5.491645809,1.367186032,1.828677084,0.908701437
5.389990004,2.290168136,2.748652732,1.828677084
5.305283095,3.207137327,3.662615467,2.748652732
5.237525085,4.118093606,4.579584658,3.662615467
5.135869279,5.04107571,5.499560306,4.579584658
5.051162371,5.958044901,6.872007636,5.499560306
4.898697453,7.785970371,8.247461423,6.872007636
4.797041647,8.708952475,9.622915213,8.247461423
4.644576729,10.53687795,11.44482777,9.622915213
4.526009606,12.35277759,13.25772096,11.44482777
4.42439138,14.16266432,15.06760769,13.25772096
4.322773155,15.97255105,16.87749442,15.06760769
4.22115493,17.78243779,19.12782701,16.87749442
4.136523184,20.47321623,21.815599,19.12782701
4.068840335,23.15798177,24.49134517,21.815599
4.052004179,25.82470856,27.15205905,24.49134517
4.069065819,28.47940953,29.80976648,27.15205905
4.069178561,31.14012342,32.47649327,29.80976648
4.035393508,33.81286312,34.70878712,32.47649327
3.984621976,35.60471112,36.95010034,34.70878712
3.899990229,38.29548956,38.75397416,36.95010034
3.815283321,39.21245876,40.56686735,38.75397416
3.679804881,41.92127594,42.37675408,40.56686735
3.612046871,42.83223222,43.73717559,42.37675408
3.510428646,44.64211895,45.09759709,43.73717559
3.442670635,45.55307523,46.90147091,45.09759709
3.341089991,48.24986659,49.14879704,46.90147091
3.273369561,50.04772749,50.94064504,49.14879704
3.239546927,51.83356258,52.28002135,50.94064504
3.22263561,52.72648012,53.61338475,52.28002135
3.222710771,54.50028937,54.94374169,53.61338475
3.222748352,55.387194,56.27109217,54.94374169
3.239772411,57.15499034,58.03588206,56.27109217
3.273745368,58.91677377,59.79766549,58.03588206
3.307718325,60.6785572,61.55644246,59.79766549
3.35864018,62.43432772,63.31521944,61.55644246
3.392613137,64.19611115,65.07399641,63.31521944
3.443534991,65.95188167,66.83277339,65.07399641
3.477507948,67.7136651,68.60056973,66.83277339
3.47758311,69.48747435,70.37738544,68.60056973
3.460709373,71.26729652,71.71676175,70.37738544
3.426849159,72.16622697,72.6156922,71.71676175
3.392988944,73.06515743,73.51762911,72.6156922
3.342179831,73.97010079,74.42557893,73.51762911
3.274421821,74.88105707,75.33954167,74.42557893
3.189714913,75.79802626,76.711989,75.33954167
3.037249994,77.62595173,78.53690801,76.711989
2.901733974,79.44786429,79.9123618,78.53690801
2.78312927,80.37685931,80.84135682,79.9123618
2.664524567,81.30585432,81.76133246,80.84135682
2.596766556,82.2168106,82.6752952,81.76133246
2.512059648,83.13377979,83.58925793,82.6752952
2.444301638,84.04473607,84.50021421,83.58925793
2.376543627,84.95569235,85.40816404,84.50021421
2.325734515,85.86063572,86.30709449,85.40816404
2.308823198,86.75355326,87.20001203,86.30709449
2.291911881,87.6464708,88.08691666,87.20001203
2.308898359,88.52736251,88.96780837,88.08691666
2.325884838,89.40825423,90.28613949,88.96780837
2.376806692,91.16402474,92.03890355,90.28613949
2.444677445,92.91378235,93.79166761,92.03890355
2.495599299,94.66955286,95.54743812,93.79166761
2.546521154,96.42532338,97.31222801,95.54743812
2.546596316,98.19913264,98.64859787,97.31222801
2.512736101,99.09806309,99.5505348,98.64859787
2.461926988,100.0030065,100.4584846,99.5505348
2.394168978,100.9139627,101.3754538,100.4584846
2.292513172,101.8369448,102.2954294,101.3754538
2.207806264,102.753914,103.2123986,102.2954294
2.123099356,103.6708832,104.1383872,103.2123986
1.987545755,104.6058912,105.0673823,104.1383872
1.885889949,105.5288733,105.9873579,105.0673823
1.801183041,106.4458424,106.91034,105.9873579
1.682578337,107.3748375,107.839335,106.91034
1.563973633,108.3038325,108.7653236,107.839335
1.462317828,109.2268146,109.6852992,108.7653236
1.377610919,110.1437838,110.6022684,109.6852992
1.292904011,111.060753,111.5192376,110.6022684
1.208197103,111.9777222,112.8796591,111.5192376
1.123527776,113.781596,114.6805265,112.8796591
1.055807346,115.5794569,116.9188332,114.6805265
1.005073395,118.2582095,119.5885665,116.9188332
1.005186137,120.9189234,122.6867198,119.5885665
1.039234256,124.4545161,126.2253189,122.6867198
1.056333476,127.9961217,130.2133833,126.2253189
1.05652138,132.4306448,135.0943652,130.2133833
1.039797966,137.7580855,141.7491563,135.0943652
1.040136192,145.7402271,147.9574887,141.7491563
1.040324096,150.1747503,152.3920119,147.9574887
1.040512,154.6092734,155.9336175,152.3920119
1.074522537,157.2579615,158.1388532,155.9336175
1.108495494,159.0197449,159.8946237,158.1388532
1.176366247,160.7695025,161.6413749,159.8946237
1.261185897,162.5132472,163.3791067,161.6413749
1.379903342,164.2449661,165.113832,163.3791067
1.48167189,165.9826978,166.4111179,165.113832
1.56645396,166.8395379,167.7084038,166.4111179
1.668222508,168.5772697,169.4431292,167.7084038
1.786939954,170.3089886,171.1778545,169.4431292
1.888708502,172.0467203,172.9215991,171.1778545
1.956579254,173.7964779,174.2339173,172.9215991
1.99051463,174.6713567,175.5612678,174.2339173
1.973640894,176.4511789,176.8976377,175.5612678
1.956729577,177.3440964,178.2400204,176.8976377
1.905958045,179.1359444,180.4813337,178.2400204
1.821326298,181.8267229,183.1811315,180.4813337
1.685847858,184.5355401,185.8869422,183.1811315
1.567318316,187.2383443,188.5837336,185.8869422
1.482686569,189.9291228,191.2715056,188.5837336
1.41500372,192.6138883,194.8431757,191.2715056
1.347396033,197.0724631,198.8582982,194.8431757
1.279750765,200.6441333,201.9865161,198.8582982
1.212067916,203.3288988,204.6712816,201.9865161
1.144385067,206.0136643,207.3530407,204.6712816
1.093651116,208.692417,210.0317933,207.3530407
1.042917165,211.3711696,212.704533,210.0317933
1.026081009,214.0378964,215.3652469,212.704533
1.043142649,216.6925974,217.1330433,215.3652469
1.060129127,217.5734891,218.9008396,217.1330433
1.077190767,220.22819,221.9959864,218.9008396
1.111238886,223.7637827,225.5315791,221.9959864
1.145287004,227.2993754,228.6267259,225.5315791
1.162348644,229.9540764,231.7278857,228.6267259
1.162498967,233.5016949,234.391606,231.7278857
1.14562523,235.2815171,236.1744346,234.391606
1.111802596,237.0673521,237.9602697,236.1744346
1.077979962,238.8531872,239.7491112,237.9602697
1.02720843,240.6450352,241.5379528,239.7491112
0.993385796,242.4308703,243.3237879,241.5379528
0.959563162,244.2167054,245.10361,243.3237879
0.959638323,245.9905146,246.8744128,245.10361
0.976662382,247.758311,248.1957504,246.8744128
1.010597759,248.6331898,249.5080686,248.1957504
1.078468511,250.3829474,250.8113674,249.5080686
1.163250581,251.2397874,252.1026404,250.8113674
