"","Bin size","Taphonomic grade","vs.","Rho","p","BH","Signif"
"1","Stage","1","Diversity (species)",0.515,0.020062,0.0720745925925926,""
"2","Stage","2","Diversity (species)",0.254,0.27948,0.4370153125,""
"3","Stage","3","Diversity (species)",0.683,0.00090367,0.00502713277777778,"*"
"4","Stage","4","Diversity (species)",0.736,0.00021535,0.002088895,"*"
"5","Stage","5","Diversity (species)",0.529,0.016504,0.0622180384615385,""
"6","Stage","1","Diversity (genera)",0.462,0.046654,0.127972638888889,""
"7","Stage","2","Diversity (genera)",0.541,0.016677,0.0622180384615385,""
"8","Stage","3","Diversity (genera)",0.343,0.15071,0.304559791666667,""
"9","Stage","4","Diversity (genera)",0.258,0.28617,0.4370153125,""
"10","Stage","5","Diversity (genera)",0.402,0.088119,0.208476658536585,""
"11","Period","1","Diversity (species)",0.754,0.083523,0.202543275,""
"12","Period","2","Diversity (species)",0.493,0.32063,0.478478615384615,""
"13","Period","3","Diversity (species)",0.529,0.28007,0.4370153125,""
"14","Period","4","Diversity (species)",0.986,0.00030909,0.00272159615384615,"*"
"15","Period","5","Diversity (species)",0.464,0.35416,0.520507878787879,""
"16","Period","1","Diversity (genera)",0.618,0.19109,0.3707146,""
"17","Period","2","Diversity (genera)",0.618,0.19109,0.3707146,""
"18","Period","3","Diversity (genera)",0.224,0.66975,0.792265243902439,""
"19","Period","4","Diversity (genera)",0.265,0.61206,0.74212275,""
"20","Period","5","Diversity (genera)",0.971,0.0012486,0.00637443157894737,"*"
"21","Stage","1","Echinoid collections",0.776,4.6304e-07,2.245744e-05,"*"
"22","Stage","2","Echinoid collections",0.823,2.3702e-08,2.299094e-06,"*"
"23","Stage","3","Echinoid collections",0.645,0.00011896,0.00128212444444444,"*"
"24","Stage","4","Echinoid collections",0.685,2.9469e-05,0.000408356142857143,"*"
"25","Stage","5","Echinoid collections",0.436,0.016123,0.0622180384615385,""
"26","Period","1","Echinoid collections",0.886,0.033333,0.0980787575757576,""
"27","Period","2","Echinoid collections",0.886,0.033333,0.0980787575757576,""
"28","Period","3","Echinoid collections",0.522,0.28834,0.4370153125,""
