Column1,Rank,Family,Genus,Species,Museum_code,Museum_country,Publication,Museum_only,In_PBDB,Locality,Continent,Country,lat,lng,Latlng_Precision,Group,Formation,Member,Age_resolution,Max_period,Min_period,early_stage,late_stage,max_ma,min_ma,interval_mid_ma,n_bins,bin_assignment,overlap_percentage,Finalised_lith,Finalised_grainsize,p_lng,p_lat,Combined_name,Finalised_grainsize_simp
2144,Genus,Archaeocidaridae,Archaeocidaris,sp.,AMS,Australia,"Philip, 1978",0,NA,"Mt Breakneck, Carrow Brook district, southern New England (Camberwell Military Map 000313), New South Wales",Oceania,Australia,-32.319,151.338,Seconds,NA,NA,NA,Stage,Mississippian,Mississippian,Visean,Visean,346.7,330.9,338.8,1,69,100,Siliciclastic,,-27.6223,-2.093,Archaeocidaris,NA
2149,Species,Lepidocentridae,Cavanechinus,warreni,AMS,Australia,"Brown, 1967",0,NA,"On the North Side of Burrenjuck Reservoir, within a quarter of a mile to the west of the northern end of Taemas Bridge over the Murrumbidgee River, 13 miles south of Yass, New South Wales",Oceania,Australia,-35.003,148.838,Seconds,Murrumbidgee Group,Cavan Bluff Limestone,NA,Stage,Devonian,Devonian,Pragian,Emsian,410.8,393.3,402.05,2,75,81.71,Carbonate,,-27.3739,-1.7716,Cavanechinus warreni,NA
2161,Family,Lepidocentridae,NA,NA,NENH,Australia,"Philip, 1963",0,NA,"Valance's Hill, Portion, 177 Par. Namia, some 12 miles south-east of Yass, New South Wales",Oceania,Australia,-35.025,149.128,Minutes,NA,NA,NA,Stage,Silurian,Silurian,Gorstian,Ludfordian,427.4,423,425.2,2,79,59.09,Siliciclastic,Fine Grained,-26.7936,-0.4989,NA,Fine Grained
516,Species,Palaechinidae,Melonechinus,multiporus,NHMW,Austria,NONE,1,NA,"St. Louis, Missouri",North America,USA,38.609,-90.209,Degrees,NA,St. Louis Limestone,NA,Stage,Mississippian,Mississippian,Visean,Visean,346.7,330.9,338.8,1,69,100,Carbonate,,5.8118,-8.5038,Melonechinus multiporus,NA
918,Family,Archaeocidaridae,NA,NA,NHMW,Austria,NONE,1,NA,"Tournai, Belgium",Europe,Belgium,50.603,3.39,Degrees,NA,NA,NA,Stage,Mississippian,Mississippian,Tournaisian,Tournaisian,358.9,346.7,352.8,1,70,100,NA,,-2.7161,-5.858,NA,NA
929,Species,Miocidaridae,Eotiaris,keyserlingi,NHMW,Austria,NONE,1,NA,"Possneck, Thuringia, Germany",Europe,Germany,50.711,11.598,Minutes,NA,Zechstein Limestone,Werra Cycle,Stage,Permian,Permian,Wuchiapingian,Wuchiapingian,259.1,254.14,256.62,1,56,100,Carbonate,Coquina,-2.7527,-5.8918,Eotiaris keyserlingi,Coarse Grained
941,Genus,Lepidocentridae,Lepidocentrus,sp.,NHMW,Austria,NONE,1,NA,"Rommersheim, Eifel",Europe,Germany,50.195,6.448,Minutes,NA,Junkerberg Formation/Freilingen Formation,NA,Stage,Devonian,Devonian,Eifelian,Eifelian,393.3,387.7,390.5,1,74,100,NA,,8.1377,-24.5611,Lepidocentrus,NA
942,Species,Lepidocentridae,Lepidocentrus,mulleri,NHMW,Austria,NONE,1,NA,"Gerolstein, Eifel, Germany",Europe,Germany,50.223,6.657,Minutes,NA,Eifelian Limestone,NA,Stage,Devonian,Devonian,Eifelian,Givetian,393.3,382.7,388,2,74,52.83,NA,,1.0022,-6.0851,Lepidocentrus mulleri,NA
950,Species,Palaechinidae,Melonechinus,multiporus,NHMW,Austria,NONE,1,NA,"St Louis, Missouri",North America,USA,38.636,-90.271,Minutes,NA,St. Louis Limestone,NA,Stage,Mississippian,Mississippian,Visean,Visean,346.7,330.9,338.8,1,69,100,Carbonate,,-35.6806,-9.4021,Melonechinus multiporus,NA
955,Class,NA,NA,NA,NHMW,Austria,NONE,1,NA,"Tournai, Belgium",Europe,Belgium,50.603,3.39,Degrees,NA,NA,NA,Stage,Mississippian,Mississippian,Tournaisian,Tournaisian,358.9,346.7,352.8,1,70,100,NA,,-2.7161,-5.858,NA,NA
965,Family,Palaechinidae,NA,NA,NHMW,Austria,NONE,1,NA,"Tournai, Belgium",Europe,Belgium,50.603,3.39,Degrees,NA,NA,NA,Stage,Mississippian,Mississippian,Tournaisian,Tournaisian,358.9,346.7,352.8,1,70,100,NA,,-2.7161,-5.858,NA,NA
